Date,Country,Population,Total Tests,Total Cases,Total Deaths,Total Recovered,Serious or Critical,Active Cases
18-04-2020,USA,330774664,3722145,738792,39014,68269,13551,631509
18-04-2020,Russia,145927292,1831892,36793,313,3057,8,33423
18-04-2020,Spain,46752703,930230,194416,20043,74797,7371,99576
18-04-2020,Brazil,212380932,62985,36722,2361,14026,6634,20335
18-04-2020,UK,67844241,460437,114217,15464,,1559,98409
18-04-2020,Italy,60471924,1305833,175925,23227,44927,2733,107771
18-04-2020,France,65256826,463662,151793,19323,35983,5833,96487
18-04-2020,Germany,83752855,1728357,143724,4538,85400,2922,53786
18-04-2020,Turkey,84230075,598933,82329,1890,10453,1894,69986
18-04-2020,Iran,83862642,330137,80868,5031,55987,3513,19850
18-04-2020,India,1378381772,335123,16365,521,2463,,13381
18-04-2020,Peru,32915899,135895,14420,348,6684,117,7388
18-04-2020,China,1439323776,,82719,4632,77029,85,1058
18-04-2020,Canada,37702769,516216,33383,1470,11207,557,20706
18-04-2020,Saudi Arabia,34747330,150000,8274,92,1329,78,6853
18-04-2020,Belgium,11583739,145997,37183,5453,8348,1119,23382
18-04-2020,Mexico,128770253,48365,6875,546,2125,207,4204
18-04-2020,Chile,19096687,108891,9730,126,4035,360,5569
18-04-2020,Netherlands,17130492,154911,31589,3601,,1279,27738
18-04-2020,Pakistan,220356788,92548,7638,143,1832,46,5663
18-04-2020,Qatar,2875047,60139,5008,8,510,37,4490
18-04-2020,Ecuador,17610231,30922,9022,456,1008,168,7558
18-04-2020,Switzerland,8647139,216400,27404,1368,17100,386,8936
18-04-2020,Belarus,9449678,86813,4779,45,342,65,4392
18-04-2020,Sweden,10091856,74600,13822,1511,550,1054,11761
18-04-2020,Portugal,10200063,235878,19685,687,610,228,18388
18-04-2020,Singapore,5844888,94796,5992,11,740,23,5241
18-04-2020,Ireland,4931150,90646,14758,571,77,294,14110
18-04-2020,UAE,9875965,767000,6302,37,1188,1,5077
18-04-2020,Bangladesh,164493041,21307,2144,84,66,1,1994
18-04-2020,Poland,37851327,192960,8742,347,981,160,7414
18-04-2020,Ukraine,43762985,52534,5106,133,275,45,4698
18-04-2020,Indonesia,273176544,39422,6248,535,631,,5082
18-04-2020,Romania,19251921,90991,8418,421,1730,248,6267
18-04-2020,Israel,8638917,187250,13265,164,3456,164,9645
18-04-2020,South Africa,59218133,108021,3034,52,903,36,2079
18-04-2020,Japan,126520115,111325,10296,222,1069,221,9005
18-04-2020,Colombia,50817787,59002,3621,166,691,98,2764
18-04-2020,Austria,9000366,175932,14671,443,10214,208,4014
18-04-2020,Kuwait,4262847,,1751,6,280,34,1465
18-04-2020,Egypt,102094004,55000,3032,224,701,,2107
18-04-2020,Dominican Republic,10834889,14373,4335,217,312,146,3806
18-04-2020,Philippines,109403890,56048,6087,397,516,1,5174
18-04-2020,S. Korea,51264120,546463,10653,232,7937,55,2484
18-04-2020,Denmark,5789832,91437,7242,346,3847,76,3049
18-04-2020,Serbia,8741321,36028,5994,117,637,126,5240
18-04-2020,Panama,4306425,18559,4210,116,122,96,3972
18-04-2020,Czechia,10706690,162533,6606,181,1227,86,5198
18-04-2020,Argentina,45146322,30942,2839,132,685,127,2022
18-04-2020,Norway,5416217,139668,7036,164,32,63,6840
18-04-2020,Algeria,43752773,3359,2534,367,894,60,1273
18-04-2020,Bahrain,1693667,82568,1773,7,755,3,1011
18-04-2020,Afghanistan,38817349,,933,30,112,,791
18-04-2020,Australia,25464216,406510,6586,70,4167,55,2349
18-04-2020,Morocco,36857758,13689,2685,137,314,1,2234
18-04-2020,Malaysia,32315733,100794,5305,88,3102,49,2115
18-04-2020,Kazakhstan,18749587,100878,1615,17,377,22,1221
18-04-2020,Finland,5539729,55600,3681,90,1700,70,1891
18-04-2020,Nigeria,205486161,7153,542,19,166,2,357
18-04-2020,Moldova,4035024,9848,2351,57,391,80,1903
18-04-2020,Ghana,30991423,60916,834,9,99,4,726
18-04-2020,Oman,5089968,,1180,6,176,3,998
18-04-2020,Armenia,2962604,11796,1248,20,523,30,705
18-04-2020,Bolivia,11653648,3569,493,31,31,3,431
18-04-2020,Luxembourg,624724,33252,3537,72,601,32,2864
18-04-2020,Iraq,40108260,53955,1513,82,953,,478
18-04-2020,Hungary,9663123,43901,1834,172,231,60,1431
18-04-2020,Cameroon,26461313,,1017,42,305,33,670
18-04-2020,Azerbaijan,10128288,86607,1373,18,590,21,765
18-04-2020,Thailand,69779718,100498,2733,47,1787,61,899
18-04-2020,Greece,10428746,53290,2235,110,269,67,1856
18-04-2020,Guinea,13086759,,518,3,65,,450
18-04-2020,Uzbekistan,33409960,136000,1490,5,194,8,1291
18-04-2020,Honduras,9885245,2396,457,46,10,10,401
18-04-2020,Sudan,43719159,,66,10,6,,50
18-04-2020,Senegal,16687100,,350,3,211,1,136
18-04-2020,Bosnia and Herzegovina,3283087,16868,1268,47,338,4,883
18-04-2020,Bulgaria,6954222,26417,878,41,153,35,684
18-04-2020,Croatia,4108081,21647,1832,39,615,27,1178
18-04-2020,Ivory Coast,26294743,,801,8,239,,554
18-04-2020,Guatemala,17874358,7200,235,7,21,3,207
18-04-2020,Cuba,11327404,25309,986,32,227,15,727
18-04-2020,North Macedonia,2083384,11556,1170,49,164,15,957
18-04-2020,Iceland,340982,41091,1760,9,1291,3,460
18-04-2020,Estonia,1326433,39605,1512,38,162,11,1312
18-04-2020,Tajikistan,9510530,,,,,,
18-04-2020,Lithuania,2726360,58816,1239,33,228,14,978
18-04-2020,DRC,89204344,,307,25,26,,256
18-04-2020,Djibouti,986245,7486,732,2,76,,654
18-04-2020,New Zealand,4817585,79078,1422,11,867,3,544
18-04-2020,Slovakia,5459339,40953,1089,11,213,10,865
18-04-2020,Slovenia,2078905,40580,1317,70,190,27,1057
18-04-2020,Somalia,15835721,,135,7,2,2,126
18-04-2020,Gabon,2219053,572,108,1,7,,100
18-04-2020,El Salvador,6482375,10191,190,7,43,1,140
18-04-2020,Mayotte,271976,1800,254,4,117,6,133
18-04-2020,Kyrgyzstan,6510930,26147,506,5,130,5,371
18-04-2020,Maldives,539365,3714,35,,16,,19
18-04-2020,Hong Kong,7489763,131786,1024,4,568,9,452
18-04-2020,Tunisia,11803787,14640,866,37,43,33,786
18-04-2020,Guinea-Bissau,1962083,1500,46,,,,46
18-04-2020,Latvia,1888464,34697,712,5,88,5,619
18-04-2020,Sri Lanka,21402783,4768,254,7,86,1,161
18-04-2020,Albania,2878155,5311,548,26,302,5,220
18-04-2020,Lebanon,6828869,20225,672,21,99,30,552
18-04-2020,Cyprus,1206320,32284,761,12,79,8,670
18-04-2020,Kenya,53621669,10784,262,12,60,2,190
18-04-2020,Niger,24088734,4715,639,19,113,,507
18-04-2020,Mali,20174887,,216,13,41,,162
18-04-2020,Costa Rica,5088572,10138,655,4,97,10,554
18-04-2020,Burkina Faso,20829100,,565,36,321,,208
18-04-2020,Paraguay,7121943,4950,202,8,35,1,159
18-04-2020,Andorra,77251,1673,704,35,205,17,464
18-04-2020,Zambia,18317156,2191,57,2,33,1,22
18-04-2020,Uruguay,3472331,12478,517,9,298,14,210
18-04-2020,Equatorial Guinea,1396874,854,79,,4,,75
18-04-2020,Georgia,3990035,5027,388,4,86,6,298
18-04-2020,San Marino,33923,1605,455,39,60,15,356
18-04-2020,Jordan,10191015,20500,413,7,269,5,137
18-04-2020,Venezuela,28445034,299714,227,9,117,4,101
18-04-2020,Malta,441407,23253,426,3,99,4,324
18-04-2020,Channel Islands,173672,3320,484,21,73,,390
18-04-2020,Haiti,11385726,498,44,3,,,41
18-04-2020,Jamaica,2959659,1516,163,5,25,,133
18-04-2020,Chad,16364523,,33,,8,,25
18-04-2020,Sierra Leone,7956645,,30,,,,30
18-04-2020,Tanzania,59512999,,147,5,11,4,131
18-04-2020,Réunion,894557,,407,,237,4,170
18-04-2020,Taiwan,23811805,52445,398,6,178,,214
18-04-2020,Congo,5500730,,143,6,11,,126
18-04-2020,Palestine,5086351,17329,418,2,69,,347
18-04-2020,Nepal,29071791,15800,31,,3,,28
18-04-2020,Ethiopia,114599417,6890,105,3,16,1,86
18-04-2020,Benin,12082333,,35,1,18,,16
18-04-2020,Isle of Man,84980,2414,297,6,180,11,111
18-04-2020,Mauritius,1271525,9755,325,9,180,3,136
18-04-2020,Togo,8254058,4191,84,5,49,,30
18-04-2020,Cabo Verde,555261,,58,1,1,,56
18-04-2020,CAR,4819377,,12,,4,,8
18-04-2020,Montenegro,628057,3874,307,5,55,7,247
18-04-2020,Vietnam,97234232,206253,268,,201,8,67
18-04-2020,Madagascar,27599599,2357,120,,35,1,85
18-04-2020,Rwanda,12911155,6237,144,,69,,75
18-04-2020,South Sudan,11177895,,4,,,,4
18-04-2020,Uganda,45550580,11101,55,,22,,33
18-04-2020,Sao Tome and Principe,218653,19,4,,,,4
18-04-2020,Liberia,5042565,,76,7,7,,62
18-04-2020,French Guiana,297687,,96,,64,2,32
18-04-2020,Eswatini,1158724,714,22,1,8,,13
18-04-2020,Martinique,375298,,163,12,73,11,78
18-04-2020,Myanmar,54366792,4065,98,5,5,,88
18-04-2020,Faeroe Islands,48841,5981,184,,173,,11
18-04-2020,Guadeloupe,400116,,148,8,73,13,67
18-04-2020,Gibraltar,33692,1859,132,,111,1,21
18-04-2020,Mozambique,31141818,952,35,,4,,31
18-04-2020,Brunei,436979,11254,137,1,113,2,23
18-04-2020,Mongolia,3271795,1450,31,,5,,26
18-04-2020,Yemen,29742981,,1,,,,1
18-04-2020,Bermuda,62304,552,83,5,35,9,43
18-04-2020,Guyana,786108,283,63,6,9,4,48
18-04-2020,Cambodia,16690788,5768,122,,103,1,19
18-04-2020,Trinidad and Tobago,1398962,1320,114,8,21,,85
18-04-2020,Aruba,106713,1358,96,2,44,4,50
18-04-2020,Monaco,39209,,94,3,22,3,69
18-04-2020,Bahamas,392795,,55,9,10,1,36
18-04-2020,Cayman Islands,65629,702,61,1,7,3,53
18-04-2020,Barbados,287335,1000,75,5,17,4,53
18-04-2020,Liechtenstein,38115,900,79,1,55,,23
18-04-2020,Mauritania,4633922,913,7,1,6,,0
18-04-2020,Sint Maarten,42817,163,64,9,12,6,43
18-04-2020,Malawi,19066433,417,17,2,3,1,12
18-04-2020,Libya,6859926,707,49,1,11,,37
18-04-2020,French Polynesia,280717,1302,55,,2,1,53
18-04-2020,Syria,17446406,,38,2,5,,31
18-04-2020,Angola,32731783,,24,2,6,,16
18-04-2020,Zimbabwe,14836491,2626,25,3,2,,20
